"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","discard_ratio"
2018,"Saint Kitts & Nevis","Vitamin B12",732073236.756317,600648951.229799,NA,NA,0.820476587685632
2018,"Guatemala","Vitamin B12",184760691.78297,151591815.351551,NA,NA,0.820476552066706
2014,"Guatemala","Vitamin B12",129332484.241173,106114270.739967,NA,NA,0.820476552063208
2015,"Guatemala","Vitamin B12",129332484.241173,106114270.739967,NA,NA,0.820476552063208
2016,"Guatemala","Vitamin B12",172443312.321564,141485694.319956,NA,NA,0.820476552063208
2015,"Curacao","Vitamin B12",244468536.093104,200580635.984593,NA,NA,0.820476283738222
2017,"Curacao","Vitamin B12",299583552.789052,245801151.923986,NA,NA,0.820476123056941
2018,"Curacao","Vitamin B12",332652685.50082,272933559.384434,NA,NA,0.820476043875983
2017,"Mauritania","Zinc",1103885501.59948,902280880.828577,550484.250350737,550484.250350737,0.817368177697066
2018,"Israel","Zinc",8742168.93302858,7142687.86260496,NA,1833.996375,0.817038416590114
2016,"Australia","Protein",4226532270.89964,3448047732.68485,2115381.51696679,2115381.51696679,0.815810104284598
2016,"Netherlands","Protein",13546551386.3822,10953451446.0221,NA,13506129.5720871,0.808578591967923
2018,"Ireland","Zinc",70502828.4148095,56918899.9249389,31665.9570341098,31665.9570341098,0.807327893145671
2018,"Saudi Arabia","Protein",1460433592.96507,1178085336.33924,730947.74422676,730947.74422676,0.806668199097924
2015,"Taiwan","Vitamin A, RAE",34675991415.7055,27923448563.8392,58614029.1686793,17509039.5292554,0.805267489805413
2018,"Ireland","Vitamin A, RAE",1262742022.28336,1013773593.05038,494653.298151236,494653.298151235,0.802835080452318
2017,"Saudi Arabia","Protein",1452930506.24796,1163793334.59934,727192.445569553,727192.445569553,0.800997246320274
2018,"Yemen","Calcium",4704900214.87099,3766409870.90412,2342284.85813646,2342284.85813646,0.80052917147944
2016,"Sierra Leone","Zinc",457270385.896415,365988092.151427,NA,140890.15403588,0.800375671461772
2017,"Sierra Leone","Zinc",457270385.896415,365988092.151427,NA,140890.15403588,0.800375671461772
2014,"New Zealand","Calcium",42205666202.2428,33767517262.666,21123957.0581795,21123957.0581795,0.800070708536087
2014,"Australia","Vitamin B12",457237046.788704,365604566.410546,235865.656479403,228847.370765117,0.799595240539416
2017,"Yemen","Calcium",4697444491.40616,3740947324.59884,2337972.03066141,2337972.03066141,0.796379250769818
2015,"Sierra Leone","Zinc",461011243.64984,365988092.151427,NA,140890.15403588,0.793881054296828
2014,"Sierra Leone","Zinc",461128933.543528,365988092.256948,NA,140890.15403588,0.793678439226372
2017,"Greece","Calcium",73634037063.9486,58357255384.282,36853872.4043787,36853872.4043787,0.79253097767274
2018,"Portugal","Calcium",33286822971.5896,26335328551.8068,NA,208195170.026009,0.791163775956754
2018,"Australia","Calcium",26845542482.6343,21216319944.4313,13436207.4487659,13436207.4487659,0.790310717623069
2016,"Greece","Calcium",60011601149.0584,47342591032.4883,30035836.4109401,30035836.4109401,0.788890649907798
2018,"Algeria","Iron",880344120.020221,691919627.407514,NA,112618.561438406,0.785964955830704
2016,"Australia","Calcium",28394862931.088,22193439023.281,14211643.1086527,14211643.1086527,0.781600498552945
2015,"Netherlands","Protein",13103940166.0462,10206384250.7353,NA,12924580.0818815,0.778879033436157
2016,"Dominica","Calcium",639897677.561004,496736204.257232,NA,53.372669441672,0.776274428984586
2018,"Estonia","Protein",183945681.787698,142485821.135015,NA,184122.860091352,0.774608132956694
2014,"Netherlands","Protein",12147760902.2206,9408175646.85519,NA,12119538.3829322,0.774478171128262
2017,"Mauritania","Iron",1133821704.24293,875080502.38544,562612.996006246,562612.996006246,0.771797275630511
2014,"Tunisia","Protein",3203119366.45912,2469011186.22016,188171.686234024,188171.686234024,0.770814604061888
2016,"Tunisia","Protein",3210913428.95311,2444939406.7095,1607063.77825481,1607063.77825481,0.761446691356812
2015,"Tunisia","Protein",3299173449.11612,2503832577.19167,187463.71322588,187463.71322588,0.758927233080902
2018,"Dominica","Calcium",288368062.347515,217987455.326588,NA,24.4427839881572,0.755934806205721
2016,"Spain","Calcium",547195611775.411,411481213281.242,273871677.565271,273871677.565271,0.751981931920407
2018,"South Cyprus","Protein",65498802.7873445,49087777.8587243,NA,66189.3234925036,0.749445421439198
2017,"Spain","Calcium",558259515372.182,414351536143.114,279409166.852944,279409166.852944,0.742220284175315
2017,"Mauritania","Protein",6775138616.16349,5025474334.50084,3350796.9171512,3350796.9171512,0.74175225323236
2018,"Brazil","DHA+EPA",799749897.773203,592948856.21431,400275.224110712,400275.224110712,0.741417858089507
2015,"Yemen","Zinc",77174439.787255,57119112.9739204,38481.3850044339,38481.3850044339,0.740129933322215
2015,"Netherlands","DHA+EPA",461796069.059599,341771457.302383,NA,454182.104213033,0.740091742223718
2014,"Netherlands","DHA+EPA",419479034.655179,309812212.070913,NA,418186.667933536,0.738564234385601
2016,"Israel","Zinc",11734210.7804032,8657546.93971711,NA,2173.62533333333,0.737803939415827
2018,"Ghana","Zinc",339074874.65369,248829283.504136,NA,NA,0.733847601531299
