"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","fmfo_dhc_ratio","dhc_fmfo_ratio"
2016,"Netherlands","Calcium",44535522862.4082,26618496957.725,0,44524330.1012764,Inf,0
2016,"Netherlands","DHA+EPA",431211199.636855,366005784.326142,0,429041.075723253,Inf,0
2016,"Netherlands","Iron",1597636832.06387,704803289.665515,0,1594745.75809733,Inf,0
2016,"Netherlands","Protein",13546579626.5743,10953299896.1361,0,13506157.820167,Inf,0
2016,"Netherlands","Vitamin A, RAE",9936945162.86693,18557685913.6136,0,9916276.30604948,Inf,0
2016,"Netherlands","Vitamin B12",4085663034.17716,1565978645.85224,0,4069826.8899676,Inf,0
2016,"Netherlands","Zinc",928946405.013702,517570012.871612,0,927703.713180453,Inf,0
2016,"Nigeria","Calcium",58642275760.165,2247073418.18798,0,NA,Inf,0
2016,"Nigeria","DHA+EPA",415680477.483546,14509545.6247762,0,NA,Inf,0
2016,"Nigeria","Iron",645559013.024879,41337091.5595279,0,NA,Inf,0
2016,"Nigeria","Protein",7364899595.39614,342261376.11615,0,NA,Inf,0
2016,"Nigeria","Vitamin A, RAE",12601502604.195,607100945.411254,0,NA,Inf,0
2016,"Nigeria","Vitamin B12",1163874398.76925,39592260.4013322,0,NA,Inf,0
2016,"Nigeria","Zinc",344041246.564585,17127682.5550109,0,NA,Inf,0
2016,"Philippines","Calcium",163234643960.926,9050734633.30443,0,24886019.5982264,Inf,0
2016,"Philippines","DHA+EPA",1019770071.91582,23350559.8744741,0,92278.9874460957,Inf,0
2016,"Philippines","Iron",2302185033.43018,100531570.670478,0,159969.867530287,Inf,0
2016,"Philippines","Protein",17665437176.5748,802047342.738257,0,1193860.78303206,Inf,0
2016,"Philippines","Vitamin A, RAE",29718281803.5357,1390094817.81485,0,1483048.78516364,Inf,0
2016,"Philippines","Vitamin B12",3856752747.92612,129234383.729696,0,384888.006281223,Inf,0
2016,"Philippines","Zinc",1444713978.41611,40250070.9126076,0,157073.02111822,Inf,0
2016,"Portugal","Calcium",30855764733.9686,23606823562.7177,0,286249277.407028,Inf,0
2016,"Portugal","DHA+EPA",342819450.823409,264697397.34705,0,2683201.87331948,Inf,0
2016,"Portugal","Iron",684715976.140102,520729233.227399,0,1944497.26046314,Inf,0
2016,"Portugal","Protein",5636297456.89206,5624068671.9015,0,27732592.6544079,Inf,0
2016,"Portugal","Vitamin A, RAE",17770574877.3334,36597430826.0664,0,44245900.0602711,Inf,0
2016,"Portugal","Vitamin B12",1413269269.18644,1093609635.57079,0,7478081.72590491,Inf,0
2016,"Portugal","Zinc",373260908.795164,271039187.249876,0,1899818.4805579,Inf,0
2016,"Saint Kitts & Nevis","Calcium",44202333766.5388,102128959697.53,0,NA,Inf,0
2016,"Saint Kitts & Nevis","DHA+EPA",285418257.06094,344524201.308031,0,NA,Inf,0
2016,"Saint Kitts & Nevis","Iron",813144734.507901,698763140.57498,0,NA,Inf,0
2016,"Saint Kitts & Nevis","Protein",6732646766.24612,6819420666.02135,0,NA,Inf,0
2016,"Saint Kitts & Nevis","Vitamin A, RAE",11942323914.2267,5741272908.39358,0,NA,Inf,0
2016,"Saint Kitts & Nevis","Vitamin B12",778822042.33569,652077051.844641,0,NA,Inf,0
2016,"Saint Kitts & Nevis","Zinc",336919806.365038,218022314.155966,0,NA,Inf,0
2016,"Sao Tome & Principe","Calcium",2620769505.21118,13103847.5260559,0,NA,Inf,0
2016,"Sao Tome & Principe","DHA+EPA",2362448.31888258,11812.2415944129,0,NA,Inf,0
2016,"Sao Tome & Principe","Iron",10538479.4603306,52692.3973016529,0,NA,Inf,0
2016,"Sao Tome & Principe","Protein",96071813.3049035,480359.066524517,0,NA,Inf,0
2016,"Sao Tome & Principe","Vitamin A, RAE",112796160.526179,563980.802630895,0,NA,Inf,0
2016,"Sao Tome & Principe","Vitamin B12",6490383.39339007,32451.9169669504,0,NA,Inf,0
2016,"Sao Tome & Principe","Zinc",1687310.75109368,8436.55375546839,0,NA,Inf,0
2016,"Senegal","Calcium",118413148839.477,129168211379.175,0,17519210.3545807,Inf,0
2016,"Senegal","DHA+EPA",829529792.109805,375537490.373606,0,118465.011255661,Inf,0
2016,"Senegal","Iron",1700032122.91875,1105814279.43919,0,195130.614782427,Inf,0
2016,"Senegal","Protein",16035972365.107,10613945314.2022,0,1237419.23379568,Inf,0
2016,"Senegal","Vitamin A, RAE",388559432177.888,980089833112.704,0,1903545.73410611,Inf,0
2016,"Senegal","Vitamin B12",3310251620.52673,1875496010.66611,0,424806.199860053,Inf,0
2016,"Senegal","Zinc",992338107.815536,561070446.605534,0,153352.288128339,Inf,0
2016,"Sierra Leone","Calcium",41358325632.658,9481126812.39693,0,17022610.5050418,Inf,0
2016,"Sierra Leone","DHA+EPA",496968422.232809,101963120.978306,0,107391.618448253,Inf,0
2016,"Sierra Leone","Iron",771009662.97594,484238226.790202,0,176923.191445107,Inf,0
2016,"Sierra Leone","Protein",7295361267.43673,3176683282.58693,0,1055509.17521395,Inf,0
2016,"Sierra Leone","Vitamin A, RAE",378156888821.382,974507781224.853,0,1495610.58392855,Inf,0
2016,"Sierra Leone","Vitamin B12",1646372221.13849,1126994065.1001,0,386183.178184637,Inf,0
2016,"Sierra Leone","Zinc",457305182.614649,366036465.509953,0,140890.15403588,Inf,0
2016,"Slovenia","Calcium",49981900.1428407,8398140.26498473,0,50031.9320749156,Inf,0
2016,"Slovenia","DHA+EPA",848342.594231772,116295.78429819,0,849.191786017789,Inf,0
2016,"Slovenia","Iron",2373411.55744571,117752.005692983,0,2375.7873447905,Inf,0
2016,"Slovenia","Protein",11361106.0721515,1217663.34807482,0,11372.4785507022,Inf,0
2016,"Slovenia","Vitamin A, RAE",146261741.498461,4930712.02235612,0,146408.149648109,Inf,0
2016,"Slovenia","Vitamin B12",3301484.36504547,276637.571729331,0,3304.78915419967,Inf,0
2016,"Slovenia","Zinc",1120511.83775483,65923.5734348283,0,1121.63347122606,Inf,0
2016,"South Cyprus","Calcium",317771266.17809,121420551.149703,0,318089.355533624,Inf,0
2016,"South Cyprus","DHA+EPA",4265268.71619109,1291831.02894137,0,4269.53825444554,Inf,0
2016,"South Cyprus","Iron",11920696.7883112,5808068.38806449,0,11932.629417729,Inf,0
2016,"South Cyprus","Protein",79148232.3521038,54569197.967656,0,79227.4598119157,Inf,0
2016,"South Cyprus","Vitamin A, RAE",169417920.955563,15464331.6584106,0,169587.508464027,Inf,0
2016,"South Cyprus","Vitamin B12",11497538.0932057,6296272.17752476,0,11509.047140346,Inf,0
2016,"South Cyprus","Zinc",5684560.44186857,6927136.05422434,0,5690.25069256113,Inf,0
2016,"Syrian Arab Republic","Calcium",824757774.606418,221299955.814127,0,202816.626933465,Inf,0
2016,"Syrian Arab Republic","DHA+EPA",9455209.77436415,1926460.21628329,0,1712.4992280802,Inf,0
2016,"Syrian Arab Republic","Iron",21029120.944745,3177951.90312493,0,2490.22352903611,Inf,0
2016,"Syrian Arab Republic","Protein",188136079.974561,37708257.3760464,0,14985.4841303747,Inf,0
2016,"Syrian Arab Republic","Vitamin A, RAE",246263707.950869,1229223258.9187,0,23325.0683707802,Inf,0
2016,"Syrian Arab Republic","Vitamin B12",31124762.7566031,3049693.36515546,0,6211.41591248953,Inf,0
2016,"Syrian Arab Republic","Zinc",9091829.72708694,1316293.65613822,0,1686.96242316804,Inf,0
2016,"Togo","Calcium",4138431171.50435,222425375.267065,0,1692156.47120806,Inf,0
2016,"Togo","DHA+EPA",41703621.0402496,1389849.74153371,0,14070.2315384026,Inf,0
2016,"Togo","Iron",50740723.3998061,3981065.28832874,0,18944.026043833,Inf,0
2016,"Togo","Protein",536447001.096592,32960336.341688,0,137927.039058218,Inf,0
2016,"Togo","Vitamin A, RAE",4900821161.4381,58082511.1409227,0,113003.755872403,Inf,0
2016,"Togo","Vitamin B12",126880578.568525,3804766.17858278,0,40414.8734748485,Inf,0
2016,"Togo","Zinc",36221516.6300891,1644159.50827537,0,16151.2462677784,Inf,0
2016,"Trinidad & Tobago","Calcium",1259078676.8659,2267625081.24473,0,55233.4577107524,Inf,0
2016,"Trinidad & Tobago","DHA+EPA",3606476.81674657,16483809.9955628,0,325.611473536866,Inf,0
2016,"Trinidad & Tobago","Iron",15267572.1979014,45386190.5255019,0,538.48695305433,Inf,0
2016,"Trinidad & Tobago","Protein",140976516.91446,356222295.517088,0,3190.14301638453,Inf,0
2016,"Trinidad & Tobago","Vitamin A, RAE",215425525.054776,1097518514.20266,0,104288.603198779,Inf,0
2016,"Trinidad & Tobago","Vitamin B12",14811856.2992725,41879289.640222,0,973.677551336164,Inf,0
2016,"Trinidad & Tobago","Zinc",10342242.6458841,18383044.102869,0,528.188533439655,Inf,0
2016,"Unknown Fishing Country","Calcium",355757005.448268,NA,0,NA,Inf,0
2016,"Unknown Fishing Country","DHA+EPA",8651172.72195112,NA,0,NA,Inf,0
2016,"Unknown Fishing Country","Iron",19209597.7231721,NA,0,NA,Inf,0
2016,"Unknown Fishing Country","Protein",238012813.553331,NA,0,NA,Inf,0
2016,"Unknown Fishing Country","Vitamin A, RAE",160026582.626483,NA,0,NA,Inf,0
2016,"Unknown Fishing Country","Vitamin B12",124638189.644427,NA,0,NA,Inf,0
